hazle	hazles,hazel
uuno	uunolta,uunoiksi,stupid,uunoa,uunotta,uunoilta,uunojen,uunon,uunoon,uunot,uunoissa,uunosta,uunoine,uunoksi,uunoille,uunolle,uunoitta,uunoista,uunona,uunoja,uunolla,uunompi,uunoina,uunoin,uunoihin,uunoilla,uunossa
playwrighting	playwright,-ing
mangat	gat,man
karvan	jaw,karvanioù,warp beam
encima	cima,en
araria	ela,você,arar,ele,eu
rasgas	tu,rasgar
frett	vitreous,borax,lead,soda,silica,glaze,compound,frit,lime,potter,fretts
cross-pollination	pollination,cross-
orthotic	more,orthotics,cursive,most,orthotist,typography,chancery
